run_id,environment,seed,algorithm,learning_rate,steps,batch_size,buffer_size,epochs,num_agents,total_time,average_cpu,average_ram,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,step_interval,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold
R_AK_3DBall_2139,3DBall,2139,ppo,0.0001658486733505,500000,49,9217,3.0,12.0,226,26.5,83.6,1.2118,12000,100.0,442000,100.0,168000,0.1122,12000,0.543,12000,1.399,12000,480000,2.5657600000000005,84000.0,33.9,2025-11-21_09-33,1
R_AK_3DBall_2140,3DBall,2140,ppo,0.0002149513108966,500000,114,21545,3.0,12.0,215,27.4,83.6,1.1248,12000,100.0,442000,100.0,312000,0.0736,24000,0.3191,24000,1.4179,12000,480000,2.5657600000000005,144000.0,59.1,2025-11-21_09-33,1
R_AK_3DBall_2141,3DBall,2141,ppo,0.0002081320060876,500000,101,19108,3.0,12.0,236,41.4,83.9,1.1418,12000,100.0,442000,100.0,168000,0.0819,24000,0.2372,24000,1.4162,12000,480000,2.5657600000000005,72000.0,29.5,2025-11-21_09-33,1
R_AK_3DBall_2142,3DBall,2142,ppo,4.248515749630988e-05,500000,178,33526,3.0,12.0,238,40.8,84.0,1.1492,12000,98.4954,442000,100.0,372000,0.0606,36000,0.2364,36000,1.4183,12000,480000,2.5657600000000005,144000.0,65.4,2025-11-21_09-33,1
R_AK_3DBall_2143,3DBall,2143,ppo,0.0001054040352981,500000,36,6898,3.0,12.0,235,27.1,83.3,1.1424,12000,100.0,442000,100.0,168000,0.131,12000,0.3713,12000,1.3999,12000,480000,2.5657600000000005,84000.0,35.2,2025-11-21_09-33,1
R_AK_3DBall_2144,3DBall,2144,ppo,0.0002188737760987,500000,173,32593,3.0,12.0,226,40.0,83.0,1.1397,12000,100.0,442000,100.0,276000,0.0618,36000,0.1794,36000,1.4162,12000,480000,2.5657600000000005,108000.0,45.2,2025-11-21_09-33,1
R_AK_3DBall_2145,3DBall,2145,ppo,0.0005559629572958,500000,158,29700,3.0,12.0,233,42.2,83.6,1.1619,12000,99.6267,442000,100.0,264000,0.0651,36000,0.1692,36000,1.4154,12000,480000,2.5657600000000005,96000.0,40.7,2025-11-21_09-33,1
R_AK_3DBall_2146,3DBall,2146,ppo,0.0002968018669491,500000,83,15563,3.0,12.0,243,41.3,83.6,1.2445,12000,98.4658,442000,100.0,144000,0.0912,24000,0.505,24000,1.4072,12000,480000,2.5657600000000005,60000.0,24.3,2025-11-21_09-33,1
R_AK_3DBall_2147,3DBall,2147,ppo,0.0004396992528728,500000,149,28019,3.0,12.0,230,38.8,83.9,1.2018,12000,99.7733,442000,100.0,264000,0.0671,36000,0.1967,36000,1.4181,12000,480000,2.5657600000000005,96000.0,40.2,2025-11-21_09-33,1
R_AK_3DBall_2148,3DBall,2148,ppo,0.0003382730125187,500000,184,34544,3.0,12.0,213,28.2,83.9,1.0928,12000,100.0,442000,100.0,336000,0.0576,36000,0.2393,36000,1.4148,12000,480000,2.5657600000000005,120000.0,47.9,2025-11-21_09-33,1
R_AK_3DBall_2149,3DBall,2149,ppo,0.0005296781427218,500000,156,29403,3.0,12.0,218,38.1,84.0,1.1446,12000,100.0,442000,100.0,252000,0.0633,36000,0.1779,36000,1.413,12000,480000,2.5657600000000005,96000.0,38.1,2025-11-21_09-33,1
R_AK_3DBall_2150,3DBall,2150,ppo,0.0001014946063345,500000,101,19059,3.0,12.0,232,42.7,84.0,1.1193,12000,100.0,442000,100.0,180000,0.0804,24000,0.2428,24000,1.4167,12000,480000,2.5657600000000005,84000.0,34.8,2025-11-21_09-33,1
R_AK_3DBall_2151,3DBall,2151,ppo,0.0001161459910445,500000,113,21288,3.0,12.0,249,42.6,83.2,1.2175,12000,100.0,442000,100.0,216000,0.0756,24000,0.2947,24000,1.4148,12000,480000,2.5657600000000005,72000.0,31.1,2025-11-21_09-33,1
R_AK_3DBall_2152,3DBall,2152,ppo,0.0006099170806932,500000,111,20945,3.0,12.0,235,40.7,83.4,1.1039,12000,100.0,442000,100.0,156000,0.0755,24000,0.2503,24000,1.4115,12000,480000,2.5657600000000005,72000.0,29.4,2025-11-21_09-33,1
R_AK_3DBall_2153,3DBall,2153,ppo,0.000518489809566,500000,88,16557,3.0,12.0,249,43.5,83.4,1.1956,12000,98.5308,442000,100.0,156000,0.0851,24000,0.4517,24000,1.4058,12000,480000,2.5657600000000005,60000.0,24.9,2025-11-21_09-33,1
R_AK_3DBall_2154,3DBall,2154,ppo,8.858842901156243e-05,500000,164,30934,3.0,12.0,215,27.0,83.4,1.1301,12000,88.3103,442000,96.4,468000,0.0605,36000,0.325,36000,1.4167,12000,480000,2.5657600000000005,192000.0,80.5,2025-11-21_09-33,1
R_AK_3DBall_2155,3DBall,2155,ppo,0.0002348232586967,500000,82,15552,3.0,12.0,230,41.3,83.4,1.2339,12000,100.0,442000,100.0,168000,0.0881,24000,0.4115,24000,1.3995,12000,480000,2.5657600000000005,60000.0,23.0,2025-11-21_09-33,1
R_AK_3DBall_2156,3DBall,2156,ppo,0.0007409934017844,500000,132,24816,3.0,12.0,210,27.2,83.2,1.0736,12000,100.0,442000,100.0,240000,0.0701,36000,0.2452,36000,1.4147,12000,480000,2.5657600000000005,96000.0,36.7,2025-11-21_09-33,1
R_AK_3DBall_2157,3DBall,2157,ppo,7.01182809277509e-05,500000,171,32065,3.0,12.0,242,45.1,83.5,1.0692,12000,98.1494,442000,100.0,336000,0.0622,36000,0.1633,36000,1.4181,12000,480000,2.5657600000000005,108000.0,48.4,2025-11-21_09-33,1
R_AK_3DBall_2158,3DBall,2158,ppo,0.0002371126834805,500000,76,14424,3.0,12.0,274,45.5,83.4,1.2785,12000,96.0046,442000,100.0,132000,0.0911,24000,0.6038,24000,1.3934,12000,480000,2.5657600000000005,48000.0,20.6,2025-11-21_09-33,1
R_AK_3DBall_2159,3DBall,2159,ppo,0.0005632109611891,500000,65,12240,3.0,12.0,222,28.6,84.1,1.1446,12000,100.0,442000,100.0,144000,0.1012,24000,0.3767,24000,1.3972,12000,480000,2.5657600000000005,60000.0,22.2,2025-11-21_09-33,1
