run_id,environment,seed,num_agents,algorithm,steps,batch_size,buffer_size,learning_rate,epochs,total_time,average_cpu,average_ram,reward_mean,reward_mean_step,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,step_interval,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold,notes
R_AK_3DBall_2542,3DBall,2542,12.0,ppo,500000,118,22157,0.0007906108878554,3.0,214,32.3,84.6,-0.3668249433102086,12000,-0.47610107691411846,12000,0.7173596335131767,442000,0.6270461975427244,228000,480000,-0.014500515516042194,24000,-0.71976502401071,24000,0.8934344181989524,12000,2.5657600000000005,84000,32.1,2025-11-21_09-33,,
R_AK_3DBall_2543,3DBall,2543,12.0,ppo,500000,113,21215,0.0002984501278321,3.0,218,34.2,84.2,-0.38890588670202375,12000,-0.9558447126798383,12000,0.7173596335131767,442000,0.6270461975427244,252000,480000,-0.009515731003711789,24000,-0.4856687198093816,24000,0.3730453622700516,12000,2.5657600000000005,120000,49.0,2025-11-21_09-33,,
R_AK_3DBall_2544,3DBall,2544,12.0,ppo,500000,149,28031,0.0007462200002404,3.0,239,47.7,84.1,-0.3517666148657383,12000,-0.4891501038069463,12000,0.6991372942998145,442000,0.6270461975427244,276000,480000,-0.0629241364929657,36000,-0.8538259889167034,36000,0.2615334217138594,12000,2.5657600000000005,96000,41.8,2025-11-21_09-33,,
R_AK_3DBall_2545,3DBall,2545,12.0,ppo,500000,36,6894,0.0004212200290733,3.0,272,49.3,83.7,3.4645986471258783,12000,3.0141298220086474,12000,0.7173596335131767,442000,0.6270461975427244,84000,480000,0.3849943575435767,12000,3.3034249481935154,12000,-1.0659896801455724,12000,2.5657600000000005,36000,13.6,2025-11-21_09-33,,
R_AK_3DBall_2546,3DBall,2546,12.0,ppo,500000,107,20113,0.0008008140777543,3.0,215,33.3,84.4,-0.2870434325149643,12000,0.32986823117229075,12000,0.7173596335131767,442000,0.6270461975427244,180000,480000,0.011135519118799704,24000,-0.419318749868598,24000,-0.3809877595861078,12000,2.5657600000000005,72000,26.8,2025-11-21_09-33,,
R_AK_3DBall_2547,3DBall,2547,12.0,ppo,500000,67,12705,0.0005804874150247,3.0,291,46.3,84.1,-0.16584000601390625,12000,-0.033201752375205236,12000,0.6959611738509334,442000,0.6270461975427244,132000,480000,0.16352750278147077,24000,0.6991035639537369,24000,-0.6146318255133665,12000,2.5657600000000005,60000,29.1,2025-11-21_09-33,,
R_AK_3DBall_2548,3DBall,2548,12.0,ppo,500000,35,6644,0.0004652070639085,3.0,376,49.2,84.3,5.682870021739277,12000,3.711101376049085,12000,0.696418098137559,442000,0.6270461975427244,96000,480000,0.43128164230093013,12000,2.194870065798271,12000,-2.536885277005831,12000,2.5657600000000005,36000,18.8,2025-11-21_09-33,,
R_AK_3DBall_2549,3DBall,2549,12.0,ppo,500000,185,34779,0.0001628593351499,3.0,22378,53.8,82.4,-0.37594283025823655,12000,-0.775461105631927,12000,0.6884542058157748,442000,0.6270461975427244,300000,480000,-0.10493874881117872,36000,-0.8021070379885028,36000,0.6385499826419451,12000,2.5657600000000005,120000,5035.1,2025-11-21_09-33,,
R_AK_3DBall_2550,3DBall,2550,12.0,ppo,500000,142,26727,0.0003777860255017,3.0,278,42.3,79.2,-0.35973325346174245,12000,-0.5605359568088844,12000,0.7173596335131767,442000,0.6270461975427244,240000,480000,-0.05722723990744523,36000,-0.5312630581276636,36000,0.5217279496783039,12000,2.5657600000000005,96000,48.6,2025-11-21_09-33,,
R_AK_3DBall_2551,3DBall,2551,12.0,ppo,500000,163,30632,0.0004149381976142,3.0,250,38.2,80.2,-0.35512826005364756,12000,-0.3010905985867844,12000,0.6429082909190355,442000,0.6270461975427244,228000,480000,-0.07859060210314679,36000,-0.8061901130617818,36000,0.4420765635667465,12000,2.5657600000000005,84000,37.5,2025-11-21_09-33,,
R_AK_3DBall_2552,3DBall,2552,12.0,ppo,500000,136,25510,0.0007791284284388,3.0,218,36.6,80.2,-0.32662335085754,12000,-0.6173376032835461,12000,0.6769243174309779,442000,0.6270461975427244,204000,480000,-0.030166981126223284,36000,-0.36181544258658577,36000,0.0013388937494149423,12000,2.5657600000000005,84000,32.7,2025-11-21_09-33,,
R_AK_3DBall_2553,3DBall,2553,12.0,ppo,500000,91,17085,0.0006041850015441,3.0,248,48.5,80.5,-0.26111731962738993,12000,-0.20821223070254102,12000,0.7077716733465385,442000,0.6270461975427244,180000,480000,0.07664982985228445,24000,0.19722558619652836,24000,0.09161046467584669,12000,2.5657600000000005,60000,24.8,2025-11-21_09-33,,
R_AK_3DBall_2554,3DBall,2554,12.0,ppo,500000,154,28890,4.574284718948022e-05,3.0,222,37.9,80.1,-0.36468362137544447,12000,-0.05469426725751053,12000,0.7173596335131767,442000,0.6270461975427244,348000,480000,-0.0707573692980562,36000,-0.4148954185392126,36000,0.7819224776427602,12000,2.5657600000000005,120000,49.9,2025-11-21_09-33,,
R_AK_3DBall_2555,3DBall,2555,12.0,ppo,500000,98,18548,0.0002691403896417,3.0,214,25.3,79.5,-0.3440532509071793,12000,-0.038574881095782415,12000,0.7173596335131767,442000,0.6270461975427244,216000,480000,0.03890788997321172,24000,-0.5176528078834004,24000,0.7978527548650717,12000,2.5657600000000005,84000,32.1,2025-11-21_09-33,,
R_AK_3DBall_2556,3DBall,2556,12.0,ppo,500000,146,27458,0.0003844068249589,3.0,212,25.0,79.4,-0.3807780733367362,12000,-0.5106426186892499,12000,0.7173596335131767,442000,0.6270461975427244,276000,480000,-0.07004525722486622,36000,-0.5979532843245536,36000,0.7925426624576345,12000,2.5657600000000005,120000,47.6,2025-11-21_09-33,,
R_AK_3DBall_2557,3DBall,2557,12.0,ppo,500000,108,20300,0.0001941131603557,3.0,225,47.3,80.9,-0.3341294901127348,12000,-0.16983273984128255,12000,0.7173596335131767,442000,0.6270461975427244,216000,480000,0.010423407045609633,24000,-0.5489563834452058,24000,0.5376582269006271,12000,2.5657600000000005,72000,28.1,2025-11-21_09-33,,
R_AK_3DBall_2558,3DBall,2558,12.0,ppo,500000,173,32486,7.932891920030707e-05,3.0,227,38.6,82.0,-0.3788439761053363,12000,-0.2918795207800819,12000,0.7173596335131767,442000,0.6270461975427244,360000,480000,-0.10565086088436879,36000,-0.5935299529951681,36000,0.6279297978270589,12000,2.5657600000000005,144000,62.3,2025-11-21_09-33,,
R_AK_3DBall_2559,3DBall,2559,12.0,ppo,500000,100,18911,0.000765870381118,3.0,217,25.8,81.5,-0.3315276688371611,12000,-0.17520586856185802,12000,0.7173596335131767,442000,0.6270461975427244,216000,480000,0.060271252168913284,24000,-0.49689717626089885,24000,0.4049059167146746,12000,2.5657600000000005,72000,27.1,2025-11-21_09-33,,
R_AK_3DBall_2560,3DBall,2560,12.0,ppo,500000,188,35402,0.0006070306980832,3.0,215,33.2,84.8,-0.3758046804559937,12000,-0.4515382027629129,12000,0.7173596335131767,442000,0.6270461975427244,300000,480000,-0.10992353332350907,36000,-0.7398401431209983,36000,0.6332398902345079,12000,2.5657600000000005,120000,48.3,2025-11-21_09-33,,
R_AK_3DBall_2561,3DBall,2561,12.0,ppo,500000,62,11807,0.0003697642578401,3.0,223,30.4,84.4,-0.21066961684171023,12000,-0.02015272548237739,12000,0.7173596335131767,442000,0.6270461975427244,144000,480000,0.18417875290398225,12000,0.043770014692459995,12000,-0.5296703469943601,12000,2.5657600000000005,60000,22.3,2025-11-21_09-33,,
R_AK_3DBall_2562,3DBall,2562,12.0,ppo,500000,187,35152,0.0001292413638492,3.0,252,49.6,85.2,-0.37555140581854846,12000,-0.3210479338346378,12000,0.634047933013165,442000,0.6270461975427244,300000,480000,-0.10849930917712898,36000,-0.8034680630129292,36000,0.7659922004204487,12000,2.5657600000000005,120000,56.7,2025-11-21_09-33,,
R_AK_3DBall_2563,3DBall,2563,12.0,ppo,500000,51,9641,0.0004718979714184,3.0,227,30.0,84.7,-0.08143047684352654,12000,0.2991646384832847,12000,0.7173596335131767,442000,0.6270461975427244,120000,480000,0.25610207229617743,12000,0.4316621466539634,12000,-0.003971198658022219,12000,2.5657600000000005,48000,17.0,2025-11-21_09-33,,
R_AK_3DBall_2564,3DBall,2564,12.0,ppo,500000,95,17821,0.0007333993971622,3.0,239,46.2,84.7,-0.24725628946902425,12000,-0.13836155733505137,12000,0.7173596335131767,442000,0.6270461975427244,156000,480000,0.06810448497400379,24000,0.23329274934382604,24000,-0.6836630268100614,12000,2.5657600000000005,60000,23.9,2025-11-21_09-33,,
